sample_id,original_folder,original_tag_text,material_components,percentages,garment_type,composition_evidence,source_path,mapped_class,status,review_reasons,image_count,views,exact_duplicate_groups,near_duplicate_groups
182,Acrylic,"Other
Acrylic 100",Acrylic,"{""Acrylic"": 100.0}",Other,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Acrylic/182,,REJECTED,UNSUPPORTED_MATERIAL,4,im_1; im_2; im_3; im_4,,
183,Acrylic,"Other
Acrylic 100
",Acrylic,"{""Acrylic"": 100.0}",Other,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Acrylic/183,,REJECTED,UNSUPPORTED_MATERIAL,4,im_1; im_2; im_3; im_4,,
184,Acrylic,"Other
Acrylic 100",Acrylic,"{""Acrylic"": 100.0}",Other,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Acrylic/184,,REJECTED,UNSUPPORTED_MATERIAL,4,im_1; im_2; im_3; im_4,,
328,Acrylic,"Other
Acrylic 98 Elastane 2
",Acrylic; Elastane,"{""Acrylic"": 98.0, ""Elastane"": 2.0}",Other,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Acrylic/328,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
329,Acrylic,"Other
Acrylic 98 Elastane 2
",Acrylic; Elastane,"{""Acrylic"": 98.0, ""Elastane"": 2.0}",Other,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Acrylic/329,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
383,Acrylic,"Other
Acrylic 100
",Acrylic,"{""Acrylic"": 100.0}",Other,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Acrylic/383,,REJECTED,UNSUPPORTED_MATERIAL,4,im_1; im_2; im_3; im_4,,
384,Acrylic,"Other
Acrylic 100
",Acrylic,"{""Acrylic"": 100.0}",Other,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Acrylic/384,,REJECTED,UNSUPPORTED_MATERIAL,4,im_1; im_2; im_3; im_4,,
505,Acrylic,"Blouse
Acrylic 100  ",Acrylic,"{""Acrylic"": 100.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Acrylic/505,,REJECTED,UNSUPPORTED_MATERIAL,4,im_1; im_2; im_3; im_4,,
506,Acrylic,"Blouse
Acrylic 100 ",Acrylic,"{""Acrylic"": 100.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Acrylic/506,,REJECTED,UNSUPPORTED_MATERIAL,4,im_1; im_2; im_3; im_4,,
65,Acrylic,"Blouse
Acrylic 100",Acrylic,"{""Acrylic"": 100.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Acrylic/65,,REJECTED,UNSUPPORTED_MATERIAL,4,im_1; im_2; im_3; im_4,,
66,Acrylic,"Blouse
Acrylic 100",Acrylic,"{""Acrylic"": 100.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Acrylic/66,,REJECTED,UNSUPPORTED_MATERIAL,4,im_1; im_2; im_3; im_4,,
822,Acrylic,"Fabric
Acrylic 100",Acrylic,"{""Acrylic"": 100.0}",Fabric,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Acrylic/822,,REJECTED,UNSUPPORTED_MATERIAL,4,im_1; im_2; im_3; im_4,,
540,Artificial_fur,"Fabric
Polyester 100 Artificial fur   
",Polyester,"{""Polyester"": 100.0}",Fabric,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Artificial_fur/540,Polyester,ACCEPTED,,4,im_1; im_2; im_3; im_4,,
539,Artificial_leather,"Fabric
PVC 100 Artificial Leather 
",,{},Fabric,missing/unparseable,Backend/datasets/ibug_fabrics/Artificial_leather/539,,REVIEW,UNPARSEABLE_OR_MISSING_COMPOSITION,4,im_1; im_2; im_3; im_4,,
812,Artificial_leather,"Fabric
PVC 100",,{},Fabric,missing/unparseable,Backend/datasets/ibug_fabrics/Artificial_leather/812,,REVIEW,UNPARSEABLE_OR_MISSING_COMPOSITION,4,im_1; im_2; im_3; im_4,,
813,Artificial_leather,"Fabric
PVC 100
",,{},Fabric,missing/unparseable,Backend/datasets/ibug_fabrics/Artificial_leather/813,,REVIEW,UNPARSEABLE_OR_MISSING_COMPOSITION,4,im_1; im_2; im_3; im_4,,
1034,Blended,"Fabric
Polyester 58 Acrylic  42  
",Acrylic; Polyester,"{""Polyester"": 58.0, ""Acrylic"": 42.0}",Fabric,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1034,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1035,Blended,"Fabric
Polyester 58 Acrylic 42  
",Acrylic; Polyester,"{""Polyester"": 58.0, ""Acrylic"": 42.0}",Fabric,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1035,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1036,Blended,"Fabric
Polyester 58 Acrylic 42  
",Acrylic; Polyester,"{""Polyester"": 58.0, ""Acrylic"": 42.0}",Fabric,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1036,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1037,Blended,"Fabric
Polyester 58 Acrylic 42  
",Acrylic; Polyester,"{""Polyester"": 58.0, ""Acrylic"": 42.0}",Fabric,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1037,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1038,Blended,"Fabric
Polyester 58 Acrylic 42  
",Acrylic; Polyester,"{""Polyester"": 58.0, ""Acrylic"": 42.0}",Fabric,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1038,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1039,Blended,"Fabric
Polyester 58 Acrylic 42  
",Acrylic; Polyester,"{""Polyester"": 58.0, ""Acrylic"": 42.0}",Fabric,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1039,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
107,Blended,"Skirt
Polyester 50 Viscose 50
",Polyester; Viscose,"{""Polyester"": 50.0, ""Viscose"": 50.0}",Skirt,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/107,,REVIEW,MIXED_COMPOSITION_REVIEW,5,im_1; im_2; im_2 (copy); im_3; im_4,,
108,Blended,"Skirt
Polyester 50 Viscose 50
",Polyester; Viscose,"{""Polyester"": 50.0, ""Viscose"": 50.0}",Skirt,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/108,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1088,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1088,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1089,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1089,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1090,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1090,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1091,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1091,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1092,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1092,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1093,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1093,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1094,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1094,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1095,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1095,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1096,Blended,"Blouse
Cotton 84 Polyester 16
",Cotton; Polyester,"{""Cotton"": 84.0, ""Polyester"": 16.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1096,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
