epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.20146585132404385,0.9397450753186558,0.42581701595336197,0.8783783783783784,0.8208549947790805,0.9080980142941351,0.8565369644423715,0.8812354870389796,0.001,241.46
2,0.1729016909990913,0.9435110081112399,0.38396806276680245,0.8770270270270271,0.8252703353550168,0.8807102858826997,0.8473787790172622,0.879932572905186,0.001,283.47
3,0.0824349684358023,0.9719003476245655,0.3904173305793036,0.8783783783783784,0.842541839791951,0.867378149867374,0.8517026577888269,0.8792638317385285,5e-05,262.58
4,0.05830272482351971,0.9805909617612978,0.4104837059106275,0.8797297297297297,0.8360517214787881,0.8741534347676589,0.8517676524693196,0.8812692554952803,5e-05,274.46
5,0.05356369356097069,0.9805909617612978,0.41553805778259284,0.8810810810810811,0.8386056934562599,0.8874611639159053,0.8576911024737449,0.882291371209698,5e-05,267.63
6,0.04000166110556275,0.9875434530706837,0.45283894215748216,0.8716216216216216,0.8441887984165468,0.868025622605364,0.8521523724055444,0.8724940568249298,5e-05,273.05
7,0.04154574445331186,0.9823290845886443,0.43181017128026233,0.8824324324324324,0.8421073571565996,0.8902952770409668,0.860744339887646,0.8851578390754532,5e-05,274.32
8,0.03361531524667527,0.9878331402085747,0.4382285969958773,0.8837837837837837,0.8504715393824647,0.8841091340013754,0.8646153687447228,0.8847154847936763,5e-05,271.39
9,0.03228607615520735,0.9881228273464658,0.42851926683738506,0.8837837837837837,0.8545808318652264,0.8769203138815207,0.8633976340892607,0.8857841022597855,5e-05,270.67
10,0.028912834456214207,0.9901506373117034,0.45374293943860794,0.8824324324324324,0.8704876504996888,0.8691530970625797,0.8660422812702514,0.8831870069526274,5e-05,269.58
11,0.026881494118507224,0.9904403244495944,0.4949401092687244,0.8621621621621621,0.8273708296761342,0.865040309706258,0.8401961600010764,0.8640487816584419,5e-05,267.48
12,0.02625636209065779,0.9915990730011588,0.44781297212049703,0.8729729729729729,0.8224240577160319,0.8658828838785735,0.8409823187433015,0.8751881318424212,5e-05,262.95
13,0.020322925390660555,0.9944959443800695,0.49406269524652335,0.8770270270270271,0.834259467907767,0.862366913498379,0.8451228922999015,0.8792587831141471,5e-05,263.66
14,0.02745536234184478,0.9921784472769409,0.4595252752964813,0.8824324324324324,0.8453168176140061,0.8786863579428235,0.8595527856081625,0.88411221635265,5e-05,261.07
15,0.032159724987736824,0.9895712630359212,0.4905326997793619,0.8702702702702703,0.8288272052119805,0.8720535231849886,0.8437095476867706,0.8716298604019564,5e-05,263.49
