epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.6367774811570089,0.9380069524913094,0.9178734304131688,0.8716216216216216,0.8150848456265345,0.8983183822084685,0.8469970348942719,0.8757188888966992,0.001,306.58
2,0.6282803473577577,0.9406141367323291,0.8931623917979163,0.8810810810810811,0.8340567125910693,0.889568904116318,0.8561914112325877,0.8839274469208851,0.001,328.29
3,0.5780283022037387,0.9629200463499421,0.9325614951752328,0.8716216216216216,0.8353040196619695,0.879981456921112,0.8543068791656991,0.8739560113163569,0.0001,440.11
4,0.5601039029493807,0.9721900347624566,0.9309537853743579,0.85,0.8044772369537772,0.8632194653207583,0.8262387860020592,0.8547507076267438,0.0001,435.17
5,0.5489545755286896,0.9788528389339514,0.9239607733649177,0.8554054054054054,0.812431458978666,0.8484401095392475,0.8247004943697668,0.8597664884292885,0.0001,417.32
6,0.5388715084499721,0.9803012746234068,0.9220124898730098,0.8635135135135135,0.814954298718897,0.8603997814127124,0.8299051448371901,0.8660235688148781,0.0001,547.94
7,0.5375972424708264,0.9771147161066048,0.893957514698441,0.8702702702702703,0.8200221142250128,0.8864649339326063,0.8434316451710225,0.8726085552432647,0.0001,578.62
8,0.5301169016131935,0.9855156431054461,0.9056873640498599,0.8756756756756757,0.8347820582857962,0.8839955422929561,0.8546875923862433,0.8777873742551625,0.0001,577.18
9,0.5312340969558663,0.9855156431054461,0.9423537665122265,0.8594594594594595,0.7805828832814814,0.8776651070832104,0.8167090422213501,0.8635691095937622,0.0001,561.96
10,0.5271939417025719,0.9826187717265353,0.9364613032018816,0.8635135135135135,0.8198599210521079,0.8633434951861676,0.8360588031011322,0.8642329728520527,0.0001,567.95
11,0.5270927050436911,0.9858053302433372,0.9445120033380148,0.8608108108108108,0.8044454210132177,0.8703967727674624,0.8285523905204336,0.8630171446712349,0.0001,557.26
12,0.530763961038059,0.9846465816917729,0.9226358389532244,0.8594594594594595,0.7859384359225448,0.854319401463798,0.8131625129574644,0.8626552144759428,0.0001,566.39
13,0.5206704577592958,0.9898609501738123,0.9184773024675008,0.8689189189189189,0.8106698862720717,0.8625369940563906,0.829827296396011,0.8721349802677817,0.0001,519.06
