epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.20146585132404385,0.9397450753186558,0.42581701595336197,0.8783783783783784,0.8208549947790805,0.9080980142941351,0.8565369644423715,0.8812354870389796,0.001,464.66
2,0.1729016909990913,0.9435110081112399,0.38396806276680245,0.8770270270270271,0.8252703353550168,0.8807102858826997,0.8473787790172622,0.879932572905186,0.001,397.31
3,0.08784424297636761,0.9692931633835458,0.4261450640674731,0.8783783783783784,0.8404494784600459,0.8686468464485706,0.8515407184951104,0.8797426476346013,5e-05,535.5
4,0.06310976993914172,0.977404403244496,0.414312860325004,0.8797297297297297,0.8326204183611345,0.8847891492288044,0.8553120208097709,0.8821127598249107,5e-05,521.44
5,0.05305751798909723,0.9817497103128621,0.4538490654715035,0.8648648648648649,0.8217708931630984,0.8770664480793791,0.8440211378887101,0.8669622584637865,5e-05,520.37
6,0.04360164447470653,0.9834878331402086,0.43762030307953936,0.8770270270270271,0.8575536673016777,0.8789477723744965,0.8648061189410727,0.8781994914944645,5e-05,517.26
7,0.046137124254138386,0.981460023174971,0.4242927896206311,0.8810810810810811,0.8482510277538642,0.8780542354357009,0.8594534399991635,0.8828986108179345,5e-05,529.25
8,0.03467922232859484,0.9869640787949016,0.44585086399346363,0.8918918918918919,0.8611956011349338,0.8957046983986641,0.8739684553752869,0.8937941431305682,5e-05,508.74
9,0.0355499954276361,0.9863847045191193,0.4289178281316438,0.8824324324324324,0.8606131974491449,0.8683255661165145,0.8603607845876757,0.884447500958138,5e-05,343.37
10,0.03468485158136458,0.9858053302433372,0.5084504642932852,0.8716216216216216,0.872270770347887,0.8601386739856568,0.8628267742442124,0.8714365603110443,5e-05,345.12
11,0.02755451517469365,0.9904403244495944,0.516723963044874,0.8648648648648649,0.8274958310866727,0.8569444444444445,0.8390155803268491,0.8651240339959038,5e-05,349.22
12,0.029543536148915715,0.9904403244495944,0.5051884546052984,0.8729729729729729,0.8380092023928077,0.8568939421848905,0.8455968999359287,0.8739830231989791,5e-05,349.53
13,0.025809273061823845,0.9915990730011588,0.5001325422977774,0.8824324324324324,0.8545469284914256,0.8705355388545043,0.8600357264342666,0.8835314871601735,5e-05,346.87
