epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.20146585132404385,0.9397450753186558,0.42581701595336197,0.8783783783783784,0.8208549947790805,0.9080980142941351,0.8565369644423715,0.8812354870389796,0.001,510.72
2,0.1729016909990913,0.9435110081112399,0.38396806276680245,0.8770270270270271,0.8252703353550168,0.8807102858826997,0.8473787790172622,0.879932572905186,0.001,460.9
3,0.08541253031267075,0.9710312862108922,0.40262934782642973,0.8837837837837837,0.8477414385441141,0.8765471497691325,0.8586423831143637,0.8849435299442746,5e-05,486.74
4,0.06003367679079224,0.9805909617612978,0.4046256404690998,0.8783783783783784,0.8333838993255083,0.8839210936732488,0.8552832814070881,0.8805141677190604,5e-05,470.66
5,0.0533137437741802,0.9785631517960602,0.423123416249645,0.8743243243243243,0.8264324321630246,0.8879500687690344,0.8496540303951864,0.8762827754161808,5e-05,423.93
6,0.04080872091023318,0.9858053302433372,0.45313881339593415,0.8756756756756757,0.857950582519697,0.8705719189016603,0.86099404187665,0.8763557985949341,5e-05,488.27
7,0.04308590323147326,0.9808806488991889,0.426979045576391,0.8837837837837837,0.8461392413828228,0.8842188881520778,0.8609527496714373,0.8864803273391744,5e-05,467.07
8,0.03407903134969612,0.9872537659327926,0.4489002109327467,0.8824324324324324,0.8402750156335848,0.8897465062874547,0.8601005719301691,0.8841262675094737,5e-05,506.42
9,0.03315444622806091,0.9884125144843569,0.4193681750320507,0.8905405405405405,0.878603434921557,0.8761959364868848,0.8740722218475397,0.8924278689274602,5e-05,358.42
10,0.029612918310719924,0.9884125144843569,0.48030892854196183,0.8810810810810811,0.8798010569560712,0.8703404374201787,0.8711822191725691,0.8817241376787631,5e-05,305.95
11,0.025357545864188813,0.9913093858632677,0.4940239923002475,0.8648648648648649,0.8303650687983126,0.857699215296198,0.8395313259811812,0.8659203995588601,5e-05,310.94
12,0.02422983603641555,0.9939165701042874,0.4576344798792274,0.8716216216216216,0.83273434559069,0.860327328323018,0.8440767592992807,0.8729209698399638,5e-05,308.97
13,0.020329117192482083,0.9927578215527231,0.48995704180959215,0.8797297297297297,0.8482711170115818,0.8638525088417329,0.8522429966423165,0.8817798238439534,5e-05,310.66
14,0.02628969809397632,0.9907300115874855,0.4712813266869194,0.8729729729729729,0.8371959188281104,0.868731119216033,0.8494140314278185,0.8745024536323428,5e-05,315.56
