epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,learning_rate,epoch_time_seconds
1,0.20148513946133997,0.9397450753186558,0.42579534106157924,0.8770270270270271,0.8193091010592738,0.9046257920719127,0.8544348657979928,0.8799934328013759,0.001,524.58
2,0.17292873439652065,0.9435110081112399,0.3839200674153462,0.8770270270270271,0.8252703353550168,0.8807102858826997,0.8473787790172622,0.879932572905186,0.001,476.58
3,0.08545943735186809,0.9710312862108922,0.40250099802238715,0.8837837837837837,0.8477414385441141,0.8765471497691325,0.8586423831143637,0.8849435299442746,5e-05,543.16
4,0.06009249482951359,0.9805909617612978,0.4044409646674663,0.8770270270270271,0.8330100556791196,0.8827636862658415,0.8545135594118312,0.8791530048579601,5e-05,542.16
5,0.05336139947262313,0.9785631517960602,0.42283116329628095,0.8756756756756757,0.8268050822306141,0.8891074761764417,0.850428449998308,0.8776448542504072,5e-05,384.15
6,0.0408631104734205,0.9858053302433372,0.4526017135569222,0.8756756756756757,0.857950582519697,0.8705719189016603,0.86099404187665,0.8763557985949341,5e-05,321.13
7,0.04315027437655219,0.9808806488991889,0.4265487721474651,0.8837837837837837,0.8461392413828228,0.8842188881520778,0.8609527496714373,0.8864803273391744,5e-05,326.52
8,0.03414571883053295,0.9872537659327926,0.4484335087729001,0.8824324324324324,0.8402750156335848,0.8897465062874547,0.8601005719301691,0.8841262675094737,5e-05,330.72
9,0.03322665224894277,0.9884125144843569,0.4190249101017921,0.8905405405405405,0.878603434921557,0.8761959364868848,0.8740722218475397,0.8924278689274602,5e-05,327.31
10,0.02968146224875275,0.9884125144843569,0.479670399040333,0.8810810810810811,0.8798010569560712,0.8703404374201787,0.8711822191725691,0.8817241376787631,5e-05,299.29
11,0.02544169572059514,0.9913093858632677,0.4934316871741258,0.8648648648648649,0.8303650687983126,0.857699215296198,0.8395313259811812,0.8659203995588601,5e-05,290.09
12,0.02432708549318643,0.9939165701042874,0.4571981434087836,0.8716216216216216,0.83273434559069,0.860327328323018,0.8440767592992807,0.8729209698399638,5e-05,380.81
13,0.02042340434578313,0.9927578215527231,0.48930691517395913,0.8797297297297297,0.8482711170115818,0.8638525088417329,0.8522429966423165,0.8817798238439534,5e-05,385.19
14,0.02638845318045601,0.9907300115874855,0.47067669393361794,0.8729729729729729,0.8371959188281104,0.868731119216033,0.8494140314278185,0.8745024536323428,5e-05,309.18
