duplicate_group_id,duplicate_type,class_1,class_2,all_involved_classes,all_file_paths,shared_sha256_hash,perceptual_hash,sample_ids,conflict_status
EXACT-0054,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1000/im_1.png"", ""Polyester/1000/im_1.png""]",322cec40cb5a0faba2d234227078cdeb7376abc0ae2485a8a5c81a62ecab9b4f,14952257797260fe,"[""1000""]",SAME_SAMPLE_DIFFERENT_LABEL
EXACT-0055,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1000/im_2.png"", ""Polyester/1000/im_2.png""]",242f1285a0f436d4983ef20082fb3e33526dcedf0decc0bc84b89e9df055e99e,05d33703751b659a,"[""1000""]",SAME_SAMPLE_DIFFERENT_LABEL
EXACT-0056,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1000/im_3.png"", ""Polyester/1000/im_3.png""]",6a171982e7026d9444e3c1b1c7d3bd68f5abbffc65e6c8dc24db14fb6050d10f,44373d462d71359a,"[""1000""]",SAME_SAMPLE_DIFFERENT_LABEL
EXACT-0057,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1000/im_4.png"", ""Polyester/1000/im_4.png""]",7329e94c6c0b5dc1c29812be0e2e24ae88d2e02c0e33ec9ce4d3c82b44834d05,045760976bd266ba,"[""1000""]",SAME_SAMPLE_DIFFERENT_LABEL
EXACT-0058,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1001/im_1.png"", ""Polyester/1001/im_1.png""]",0a54f582aae78616225d45d25743b9d756cfbf7648735cb182d4f2344bbd7480,10863a6b6b69639e,"[""1001""]",SAME_SAMPLE_DIFFERENT_LABEL
EXACT-0059,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1001/im_2.png"", ""Polyester/1001/im_2.png""]",d2289459850259374d9542c251366da9517637de204666e8786bc5573693d421,00867a3f277c239e,"[""1001""]",SAME_SAMPLE_DIFFERENT_LABEL
EXACT-0060,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1001/im_3.png"", ""Polyester/1001/im_3.png""]",3e8a2b30fe9b28f07f96828cac8b41e2b695b14b1e2a05097a62a892cfe1ce3c,402e3b3a2e7032fe,"[""1001""]",SAME_SAMPLE_DIFFERENT_LABEL
EXACT-0061,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1001/im_4.png"", ""Polyester/1001/im_4.png""]",fe43749417fbab2fbb602cea0861b0c8fcf91bbf46a408e06fba594834e64a75,005a7aa56f6077aa,"[""1001""]",SAME_SAMPLE_DIFFERENT_LABEL
EXACT-0062,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1002/im_1.png"", ""Polyester/1002/im_1.png""]",e69a265317d78998bfccc05f09ae720df66c397a4090e9712c0238a69c443d75,10b8285d477c636f,"[""1002""]",SAME_SAMPLE_DIFFERENT_LABEL
EXACT-0063,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1002/im_2.png"", ""Polyester/1002/im_2.png""]",c4a8de069572446cd69292c932c520b6d05436f1c801ab9d40c854c2930686ee,00907a2f1f7e653c,"[""1002""]",SAME_SAMPLE_DIFFERENT_LABEL
EXACT-0064,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1002/im_3.png"", ""Polyester/1002/im_3.png""]",68cec3f518884425c79d12903bf7079f14b9aae0ff745956875ff5dfe619cfd9,441e322f0b743dae,"[""1002""]",SAME_SAMPLE_DIFFERENT_LABEL
EXACT-0065,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1002/im_4.png"", ""Polyester/1002/im_4.png""]",40800d96881fbe96debd3ef41ca7a56b0f69363f5f5145d432f5ee42dea485ca,005c605f07f4edec,"[""1002""]",SAME_SAMPLE_DIFFERENT_LABEL
EXACT-0066,exact,Crepe,Polyester,"[""Crepe"", ""Polyester""]","[""Crepe/1003/im_1.png"", ""Polyester/1003/im_1.png""]",55bbc054ee1ae750da41eb08dc282f7f6c53736da96efb3365dff5316063e4b7,00ab7e54653d6da4,"[""1003""]",SAME_SAMPLE_DIFFERENT_LABEL
