class_name,image_count,readable_image_count,corrupted_image_count,file_extensions,min_width,max_width,average_width,min_height,max_height,average_height,empty
Acrylic,48,48,0,"{"".png"": 48}",400,400,400.0,400,400,400.0,False
Artificial_fur,4,4,0,"{"".png"": 4}",400,400,400.0,400,400,400.0,False
Artificial_leather,12,12,0,"{"".png"": 12}",400,400,400.0,400,400,400.0,False
Blended,1645,1645,0,"{"".png"": 1645}",400,400,400.0,400,400,400.0,False
Chenille,52,52,0,"{"".png"": 52}",400,400,400.0,400,400,400.0,False
Corduroy,96,96,0,"{"".png"": 96}",400,400,400.0,400,400,400.0,False
Cotton,2352,2352,0,"{"".png"": 2352}",400,400,400.0,400,400,400.0,False
Crepe,104,104,0,"{"".png"": 104}",400,400,400.0,400,400,400.0,False
Denim,648,648,0,"{"".png"": 648}",400,400,400.0,400,400,400.0,False
Felt,16,16,0,"{"".png"": 16}",400,400,400.0,400,400,400.0,False
Fleece,132,132,0,"{"".png"": 132}",400,400,400.0,400,400,400.0,False
Leather,64,64,0,"{"".png"": 64}",400,400,400.0,400,400,400.0,False
Linen,76,76,0,"{"".png"": 76}",400,400,400.0,400,400,400.0,False
Lut,16,16,0,"{"".png"": 16}",400,400,400.0,400,400,400.0,False
Nylon,228,228,0,"{"".png"": 228}",400,400,400.0,400,400,400.0,False
Polyester,904,904,0,"{"".png"": 904}",400,400,400.0,400,400,400.0,False
Satin,96,96,0,"{"".png"": 96}",400,400,400.0,400,400,400.0,False
Silk,200,200,0,"{"".png"": 200}",400,400,400.0,400,400,400.0,False
Suede,20,20,0,"{"".png"": 20}",400,400,400.0,400,400,400.0,False
Terrycloth,120,120,0,"{"".png"": 120}",400,400,400.0,400,400,400.0,False
Unclassified,492,492,0,"{"".png"": 492}",400,400,400.0,400,400,400.0,False
Utilities,8,8,0,"{"".jpg"": 4, "".png"": 4}",400,400,400.0,400,400,400.0,False
Velvet,44,44,0,"{"".png"": 44}",400,400,400.0,400,400,400.0,False
Viscose,148,148,0,"{"".png"": 148}",400,400,400.0,400,400,400.0,False
Wool,360,360,0,"{"".png"": 360}",400,400,400.0,400,400,400.0,False
