sample_id,class_name,image_count,file_paths,cross_class_conflict
1,Denim,4,"[""Denim/1/im_1.png"", ""Denim/1/im_2.png"", ""Denim/1/im_3.png"", ""Denim/1/im_4.png""]",False
10,Cotton,4,"[""Cotton/10/im_1.png"", ""Cotton/10/im_2.png"", ""Cotton/10/im_3.png"", ""Cotton/10/im_4.png""]",False
100,Cotton,4,"[""Cotton/100/im_1.png"", ""Cotton/100/im_2.png"", ""Cotton/100/im_3.png"", ""Cotton/100/im_4.png""]",False
101,Cotton,4,"[""Cotton/101/im_1.png"", ""Cotton/101/im_2.png"", ""Cotton/101/im_3.png"", ""Cotton/101/im_4.png""]",False
1018,Silk,4,"[""Silk/1018/im_1.png"", ""Silk/1018/im_2.png"", ""Silk/1018/im_3.png"", ""Silk/1018/im_4.png""]",False
1019,Silk,4,"[""Silk/1019/im_1.png"", ""Silk/1019/im_2.png"", ""Silk/1019/im_3.png"", ""Silk/1019/im_4.png""]",False
102,Cotton,4,"[""Cotton/102/im_1.png"", ""Cotton/102/im_2.png"", ""Cotton/102/im_3.png"", ""Cotton/102/im_4.png""]",False
1020,Silk,4,"[""Silk/1020/im_1.png"", ""Silk/1020/im_2.png"", ""Silk/1020/im_3.png"", ""Silk/1020/im_4.png""]",False
1021,Silk,4,"[""Silk/1021/im_1.png"", ""Silk/1021/im_2.png"", ""Silk/1021/im_3.png"", ""Silk/1021/im_4.png""]",False
1022,Silk,4,"[""Silk/1022/im_1.png"", ""Silk/1022/im_2.png"", ""Silk/1022/im_3.png"", ""Silk/1022/im_4.png""]",False
1023,Silk,4,"[""Silk/1023/im_1.png"", ""Silk/1023/im_2.png"", ""Silk/1023/im_3.png"", ""Silk/1023/im_4.png""]",False
1024,Silk,4,"[""Silk/1024/im_1.png"", ""Silk/1024/im_2.png"", ""Silk/1024/im_3.png"", ""Silk/1024/im_4.png""]",False
1025,Silk,4,"[""Silk/1025/im_1.png"", ""Silk/1025/im_2.png"", ""Silk/1025/im_3.png"", ""Silk/1025/im_4.png""]",False
1026,Silk,4,"[""Silk/1026/im_1.png"", ""Silk/1026/im_2.png"", ""Silk/1026/im_3.png"", ""Silk/1026/im_4.png""]",False
1027,Silk,4,"[""Silk/1027/im_1.png"", ""Silk/1027/im_2.png"", ""Silk/1027/im_3.png"", ""Silk/1027/im_4.png""]",False
103,Polyester,4,"[""Polyester/103/im_1.png"", ""Polyester/103/im_2.png"", ""Polyester/103/im_3.png"", ""Polyester/103/im_4.png""]",False
104,Polyester,4,"[""Polyester/104/im_1.png"", ""Polyester/104/im_2.png"", ""Polyester/104/im_3.png"", ""Polyester/104/im_4.png""]",False
