sample_id,class_name,split,image_count
1,Denim,train,4
10,Cotton,train,4
100,Cotton,train,4
101,Cotton,train,4
1018,Silk,train,4
1019,Silk,test,4
102,Cotton,train,4
1020,Silk,train,4
1021,Silk,test,4
1022,Silk,train,4
1023,Silk,train,4
1024,Silk,train,4
1025,Silk,train,4
1026,Silk,train,4
1027,Silk,train,4
103,Polyester,validation,4
104,Polyester,validation,4
1040,Denim,test,4
1041,Denim,train,4
1042,Denim,train,4
1043,Denim,train,4
1044,Denim,train,4
1045,Denim,test,4
1046,Denim,train,4
1047,Denim,train,4
1048,Denim,train,4
1049,Denim,train,4
105,Cotton,validation,4
1050,Denim,validation,4
1051,Denim,test,4
1052,Denim,validation,4
1053,Denim,train,4
1054,Denim,train,4
1055,Denim,train,4
1056,Denim,train,4
1057,Denim,train,4
1058,Denim,train,4
1059,Denim,train,4
106,Cotton,train,4
1060,Denim,test,4
1061,Denim,train,4
1062,Denim,train,4
1063,Denim,train,4
1064,Denim,train,4
1065,Denim,train,4
1066,Denim,train,4
1067,Denim,train,4
1068,Denim,train,4
1069,Denim,validation,4
1070,Denim,train,4
1071,Denim,validation,4
1072,Denim,train,4
1073,Denim,train,4
1074,Denim,test,4
1075,Denim,train,4
1076,Denim,train,4
1077,Denim,test,4
1078,Denim,train,4
1079,Denim,train,4
1080,Denim,train,4
1081,Denim,test,4
1082,Denim,train,4
1083,Denim,train,4
1084,Denim,train,4
1085,Denim,test,4
1086,Denim,test,4
1087,Denim,train,4
109,Polyester,train,4
1099,Cotton,train,4
11,Cotton,validation,4
110,Polyester,train,4
1100,Cotton,train,4
1101,Cotton,train,4
1107,Cotton,test,4
1108,Cotton,validation,4
1109,Cotton,test,4
111,Cotton,train,4
1110,Cotton,train,4
1117,Denim,test,4
1118,Denim,test,4
1119,Denim,validation,4
112,Cotton,train,4
1120,Denim,train,4
1121,Cotton,validation,4
1122,Cotton,validation,4
1123,Cotton,validation,4
1124,Cotton,train,4
1125,Cotton,train,4
1126,Cotton,train,4
1127,Cotton,validation,4
1128,Cotton,train,4
1129,Cotton,train,4
113,Cotton,train,4
1134,Denim,train,4
1135,Denim,train,4
1136,Denim,validation,4
1137,Denim,validation,4
1138,Denim,validation,4
1139,Denim,train,4
114,Cotton,test,4
1141,Cotton,train,4
1142,Cotton,train,4
1143,Cotton,train,4
1144,Cotton,train,4
1145,Cotton,train,4
1146,Cotton,validation,4
1147,Cotton,test,4
1148,Cotton,test,4
1149,Cotton,test,4
1150,Cotton,train,4
1151,Cotton,test,4
1152,Cotton,test,4
1153,Cotton,train,4
1154,Cotton,train,4
1155,Cotton,train,4
1156,Cotton,train,4
1157,Cotton,train,4
1158,Cotton,test,4
1159,Cotton,train,4
1160,Cotton,validation,4
1161,Cotton,train,4
1162,Cotton,test,4
1163,Cotton,test,4
1164,Cotton,test,4
1165,Cotton,train,4
1166,Cotton,train,4
1167,Cotton,train,4
1168,Cotton,train,4
1169,Cotton,validation,4
1170,Cotton,validation,4
1171,Cotton,test,4
1172,Cotton,train,4
1179,Cotton,train,4
118,Viscose,train,4
1180,Cotton,train,4
1181,Cotton,train,4
1182,Cotton,train,4
1183,Cotton,train,4
1184,Cotton,train,4
1185,Cotton,train,4
1188,Cotton,validation,4
119,Viscose,train,4
1190,Denim,validation,4
1191,Denim,train,4
1192,Denim,validation,4
1193,Cotton,test,4
1194,Cotton,train,4
1195,Cotton,train,4
1196,Cotton,train,4
1197,Cotton,train,4
1198,Cotton,validation,4
1199,Cotton,train,4
12,Denim,train,4
120,Cotton,train,4
1200,Cotton,train,4
1201,Cotton,train,4
1202,Cotton,train,4
1203,Nylon,train,4
1204,Nylon,validation,4
1205,Nylon,train,4
1206,Nylon,train,4
1207,Nylon,train,4
121,Cotton,validation,4
1210,Cotton,train,4
1211,Cotton,train,4
1212,Cotton,train,4
1213,Cotton,train,4
1214,Nylon,train,4
1215,Nylon,test,4
1216,Cotton,train,4
1217,Cotton,validation,4
1218,Cotton,train,4
1219,Cotton,train,4
122,Cotton,validation,4
1220,Cotton,train,4
1221,Cotton,train,4
1222,Cotton,validation,4
1223,Cotton,train,4
1224,Cotton,train,4
123,Cotton,train,4
1234,Denim,train,4
1235,Denim,train,4
1236,Cotton,train,4
1237,Cotton,train,4
1238,Cotton,train,4
1239,Cotton,train,4
124,Cotton,validation,4
1240,Cotton,validation,4
1241,Cotton,train,4
1242,Cotton,test,4
1243,Cotton,train,4
1244,Cotton,validation,4
1245,Cotton,validation,4
1246,Denim,test,4
1247,Denim,train,4
1248,Denim,train,4
1249,Denim,train,4
125,Cotton,train,4
1250,Denim,train,4
1251,Denim,test,4
1252,Denim,train,4
1253,Denim,train,4
1254,Denim,train,4
1255,Denim,train,4
1256,Denim,train,4
1259,Denim,train,4
1260,Denim,train,4
1261,Cotton,train,4
1262,Cotton,train,4
1263,Polyester,validation,4
1264,Polyester,test,4
1270,Cotton,train,4
1271,Cotton,train,4
1272,Cotton,train,4
1273,Cotton,train,4
1274,Cotton,test,4
1275,Cotton,test,4
1276,Denim,train,4
1277,Denim,validation,4
1278,Denim,train,4
1279,Denim,validation,4
128,Silk,train,4
1280,Cotton,train,4
1281,Cotton,validation,4
1282,Cotton,test,4
1283,Cotton,train,4
1284,Cotton,train,4
1285,Cotton,validation,4
1286,Denim,train,4
1287,Denim,train,4
1288,Denim,train,4
1289,Denim,test,4
129,Silk,train,4
1290,Cotton,train,4
1291,Cotton,test,4
1292,Cotton,train,4
1293,Cotton,test,4
1294,Cotton,train,4
1295,Cotton,test,4
1296,Cotton,validation,4
1297,Cotton,train,4
1298,Cotton,test,4
1299,Cotton,test,4
130,Silk,train,4
1300,Denim,validation,4
1301,Denim,validation,4
1302,Denim,test,4
1303,Denim,train,4
1304,Denim,train,4
1305,Denim,test,4
1306,Denim,train,4
1307,Denim,test,4
1308,Denim,validation,4
1309,Denim,train,4
131,Cotton,train,4
1310,Denim,test,4
1311,Denim,train,4
1313,Denim,train,4
1314,Denim,train,4
1315,Denim,validation,4
1316,Denim,test,4
1317,Denim,train,4
1318,Denim,test,4
1319,Denim,train,4
132,Cotton,train,4
1320,Denim,validation,4
1321,Denim,validation,4
1322,Denim,validation,4
1323,Denim,train,4
1324,Denim,train,4
1325,Denim,validation,4
1326,Denim,train,4
1327,Denim,train,4
1328,Denim,train,4
1329,Denim,train,4
1330,Denim,train,4
1331,Denim,train,4
1332,Denim,train,4
1333,Denim,train,4
1334,Denim,test,4
1335,Denim,train,4
1336,Denim,train,4
1337,Denim,train,4
1338,Denim,train,4
1339,Denim,train,4
1340,Denim,train,4
1341,Denim,train,4
1342,Denim,train,4
1343,Denim,train,4
1344,Denim,validation,4
1345,Denim,test,4
1346,Denim,train,4
1347,Denim,validation,4
1348,Denim,train,4
1349,Denim,train,4
1350,Denim,train,4
1351,Denim,train,4
1352,Denim,validation,4
1353,Denim,train,4
1354,Denim,train,4
1355,Denim,train,4
136,Viscose,train,4
1360,Cotton,train,4
1361,Cotton,train,4
1362,Cotton,train,4
1363,Cotton,train,4
1364,Cotton,train,4
1365,Cotton,train,4
1366,Cotton,train,4
137,Viscose,test,4
1373,Cotton,test,4
1374,Cotton,train,4
1375,Cotton,train,4
1376,Cotton,train,4
1377,Cotton,train,4
1378,Cotton,train,4
1379,Cotton,train,4
138,Cotton,train,4
1380,Cotton,test,4
1381,Cotton,validation,4
1382,Cotton,test,4
1383,Cotton,train,4
1384,Cotton,train,4
1385,Cotton,train,4
1386,Cotton,validation,4
139,Cotton,train,4
1390,Cotton,validation,4
1391,Cotton,train,4
1392,Cotton,train,4
1393,Cotton,train,4
1394,Cotton,train,4
1395,Cotton,test,4
1396,Nylon,train,4
1397,Nylon,train,4
1398,Cotton,train,4
1399,Cotton,train,4
140,Nylon,train,4
1400,Cotton,train,4
1401,Cotton,test,4
1402,Denim,train,4
1403,Wool,validation,4
1404,Wool,train,4
1405,Wool,train,4
1406,Wool,train,4
1407,Wool,train,4
1409,Wool,validation,4
141,Nylon,train,4
1410,Wool,train,4
1411,Wool,train,4
1412,Wool,train,4
1413,Wool,train,4
1414,Wool,test,4
1415,Wool,validation,4
1418,Wool,train,4
1419,Wool,train,4
142,Terrycloth,train,4
1420,Wool,train,4
1421,Wool,test,4
1422,Wool,train,4
1423,Wool,train,4
1424,Wool,test,4
1425,Wool,train,4
1426,Wool,train,4
1427,Wool,train,4
1428,Wool,train,4
1429,Wool,train,4
143,Terrycloth,test,4
1430,Wool,test,4
1432,Wool,train,4
1433,Wool,train,4
1434,Wool,train,4
1435,Wool,train,4
1436,Wool,train,4
1437,Wool,train,4
1438,Wool,validation,4
1439,Wool,validation,4
144,Terrycloth,train,4
1440,Wool,train,4
1441,Nylon,validation,4
1442,Nylon,train,4
1443,Nylon,train,4
1444,Nylon,test,4
1445,Nylon,train,4
1446,Nylon,train,4
1447,Nylon,train,4
1448,Nylon,train,4
1449,Nylon,train,4
145,Terrycloth,train,4
1450,Nylon,train,4
1451,Cotton,train,4
1452,Cotton,train,4
1453,Polyester,test,4
1454,Polyester,validation,4
1458,Cotton,test,4
1459,Cotton,train,4
146,Terrycloth,train,4
1460,Cotton,train,4
1461,Cotton,train,4
1462,Cotton,train,4
1467,Cotton,validation,4
1468,Cotton,train,4
147,Terrycloth,test,4
1470,Cotton,validation,4
1471,Cotton,train,4
1472,Cotton,train,4
1473,Cotton,test,4
1474,Cotton,train,4
1475,Cotton,test,4
1476,Cotton,train,4
1477,Cotton,train,4
1478,Cotton,train,4
1479,Cotton,train,4
148,Terrycloth,validation,4
1480,Cotton,validation,4
1481,Cotton,test,4
1482,Cotton,train,4
1483,Cotton,train,4
1484,Cotton,validation,4
1485,Cotton,train,4
1486,Cotton,train,4
1487,Cotton,train,4
1488,Cotton,test,4
1489,Cotton,train,4
149,Terrycloth,train,4
1490,Cotton,train,4
1491,Cotton,test,4
1492,Cotton,train,4
1493,Cotton,train,4
1494,Cotton,train,4
1495,Cotton,train,4
1496,Cotton,test,4
1497,Cotton,train,4
1498,Cotton,train,4
1499,Cotton,train,4
15,Denim,test,4
150,Denim,train,4
1500,Cotton,train,4
1501,Cotton,validation,4
1502,Cotton,train,4
1503,Cotton,validation,4
1504,Cotton,train,4
1505,Cotton,train,4
1506,Cotton,validation,4
1507,Cotton,train,4
1508,Cotton,train,4
1509,Cotton,test,4
1510,Cotton,validation,4
1511,Cotton,train,4
1512,Cotton,train,4
1513,Cotton,train,4
1514,Cotton,train,4
1515,Cotton,train,4
1516,Cotton,test,4
1517,Cotton,validation,4
1518,Cotton,train,4
1519,Cotton,train,4
152,Denim,train,4
1520,Cotton,train,4
1521,Cotton,train,4
1522,Cotton,train,4
1523,Cotton,train,4
1525,Cotton,train,4
1527,Cotton,train,4
153,Cotton,train,4
1538,Cotton,train,4
1539,Cotton,test,4
154,Cotton,train,4
155,Viscose,train,4
1552,Cotton,train,4
1553,Cotton,validation,4
1554,Cotton,train,4
1555,Cotton,train,4
1556,Cotton,validation,4
1557,Cotton,test,4
156,Viscose,test,4
1561,Cotton,train,4
1562,Cotton,train,4
1563,Cotton,train,4
157,Viscose,train,4
1574,Cotton,test,4
1575,Cotton,train,4
1576,Polyester,test,4
1577,Polyester,train,4
158,Viscose,test,4
1580,Polyester,train,4
1581,Polyester,validation,4
1582,Polyester,train,4
1583,Polyester,train,4
1586,Polyester,train,4
1587,Polyester,validation,4
1588,Polyester,train,4
1589,Polyester,train,4
159,Cotton,validation,4
1592,Polyester,train,4
1593,Polyester,test,4
1594,Polyester,train,4
1595,Polyester,train,4
1596,Polyester,test,4
1597,Polyester,train,4
160,Cotton,validation,4
1600,Cotton,train,4
1601,Cotton,test,4
1605,Polyester,train,4
1606,Polyester,train,4
1607,Polyester,train,4
1608,Polyester,train,4
1609,Polyester,train,4
161,Cotton,train,4
1610,Polyester,train,4
1611,Polyester,train,4
1612,Polyester,train,4
1613,Polyester,validation,4
1614,Polyester,validation,4
1615,Polyester,validation,4
1616,Polyester,test,4
1617,Polyester,test,4
1618,Polyester,test,4
1619,Polyester,test,4
162,Cotton,train,4
1620,Polyester,train,4
163,Cotton,test,4
164,Cotton,train,4
1645,Polyester,train,4
1646,Polyester,train,4
1649,Polyester,test,4
1650,Polyester,train,4
1651,Polyester,test,4
1652,Polyester,train,4
1653,Polyester,train,4
1654,Fleece,train,4
1655,Fleece,train,4
1656,Fleece,train,4
1657,Fleece,validation,4
1658,Fleece,train,4
1659,Fleece,train,4
1660,Fleece,train,4
1661,Fleece,train,4
1662,Fleece,train,4
1668,Cotton,train,4
1669,Cotton,train,4
167,Cotton,train,4
1679,Cotton,validation,4
168,Cotton,train,4
1680,Cotton,train,4
1681,Polyester,train,4
1682,Polyester,train,4
1683,Polyester,train,4
1684,Polyester,train,4
1685,Polyester,test,4
1686,Polyester,train,4
1687,Polyester,validation,4
1688,Polyester,train,4
1689,Polyester,train,4
169,Cotton,validation,4
1690,Polyester,train,4
1691,Polyester,test,4
1692,Polyester,train,4
1693,Polyester,validation,4
1694,Polyester,test,4
1695,Polyester,test,4
1696,Polyester,train,4
1699,Polyester,train,4
170,Cotton,train,4
1700,Polyester,train,4
1701,Polyester,train,4
1702,Polyester,train,4
1703,Polyester,train,4
1704,Polyester,train,4
1705,Polyester,train,4
1707,Polyester,train,4
1708,Polyester,validation,4
1709,Polyester,train,4
171,Viscose,train,4
1710,Polyester,train,4
1711,Polyester,train,4
1713,Cotton,test,4
