sample_id,class_name,image_count,image_paths,conflicting_classes,conflict_status
1000,Crepe,4,"[""Crepe/1000/im_1.png"", ""Crepe/1000/im_2.png"", ""Crepe/1000/im_3.png"", ""Crepe/1000/im_4.png""]","[""Polyester""]",SAME_SAMPLE_DIFFERENT_LABEL
1000,Polyester,4,"[""Polyester/1000/im_1.png"", ""Polyester/1000/im_2.png"", ""Polyester/1000/im_3.png"", ""Polyester/1000/im_4.png""]","[""Crepe""]",SAME_SAMPLE_DIFFERENT_LABEL
1001,Crepe,4,"[""Crepe/1001/im_1.png"", ""Crepe/1001/im_2.png"", ""Crepe/1001/im_3.png"", ""Crepe/1001/im_4.png""]","[""Polyester""]",SAME_SAMPLE_DIFFERENT_LABEL
1001,Polyester,4,"[""Polyester/1001/im_1.png"", ""Polyester/1001/im_2.png"", ""Polyester/1001/im_3.png"", ""Polyester/1001/im_4.png""]","[""Crepe""]",SAME_SAMPLE_DIFFERENT_LABEL
1002,Crepe,4,"[""Crepe/1002/im_1.png"", ""Crepe/1002/im_2.png"", ""Crepe/1002/im_3.png"", ""Crepe/1002/im_4.png""]","[""Polyester""]",SAME_SAMPLE_DIFFERENT_LABEL
1002,Polyester,4,"[""Polyester/1002/im_1.png"", ""Polyester/1002/im_2.png"", ""Polyester/1002/im_3.png"", ""Polyester/1002/im_4.png""]","[""Crepe""]",SAME_SAMPLE_DIFFERENT_LABEL
1003,Crepe,4,"[""Crepe/1003/im_1.png"", ""Crepe/1003/im_2.png"", ""Crepe/1003/im_3.png"", ""Crepe/1003/im_4.png""]","[""Polyester""]",SAME_SAMPLE_DIFFERENT_LABEL
1003,Polyester,4,"[""Polyester/1003/im_1.png"", ""Polyester/1003/im_2.png"", ""Polyester/1003/im_3.png"", ""Polyester/1003/im_4.png""]","[""Crepe""]",SAME_SAMPLE_DIFFERENT_LABEL
1004,Satin,4,"[""Satin/1004/im_1.png"", ""Satin/1004/im_2.png"", ""Satin/1004/im_3.png"", ""Satin/1004/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1004,Silk,4,"[""Silk/1004/im_1.png"", ""Silk/1004/im_2.png"", ""Silk/1004/im_3.png"", ""Silk/1004/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1005,Satin,4,"[""Satin/1005/im_1.png"", ""Satin/1005/im_2.png"", ""Satin/1005/im_3.png"", ""Satin/1005/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1005,Silk,4,"[""Silk/1005/im_1.png"", ""Silk/1005/im_2.png"", ""Silk/1005/im_3.png"", ""Silk/1005/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1006,Satin,4,"[""Satin/1006/im_1.png"", ""Satin/1006/im_2.png"", ""Satin/1006/im_3.png"", ""Satin/1006/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1006,Silk,4,"[""Silk/1006/im_1.png"", ""Silk/1006/im_2.png"", ""Silk/1006/im_3.png"", ""Silk/1006/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1007,Satin,4,"[""Satin/1007/im_1.png"", ""Satin/1007/im_2.png"", ""Satin/1007/im_3.png"", ""Satin/1007/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1007,Silk,4,"[""Silk/1007/im_1.png"", ""Silk/1007/im_2.png"", ""Silk/1007/im_3.png"", ""Silk/1007/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1008,Satin,4,"[""Satin/1008/im_1.png"", ""Satin/1008/im_2.png"", ""Satin/1008/im_3.png"", ""Satin/1008/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
