epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_weighted_f1,learning_rate,elapsed_seconds
1,1.167475951643421,0.6068945538818077,0.9547496969635422,0.7135135135135136,0.5886070272830538,0.7125272586334306,0.001,282.54
2,0.9271970376769472,0.6683082271147162,0.8621930022497435,0.7445945945945946,0.6351251555976766,0.7434298775025042,0.001,588.75
3,0.7543785851081857,0.7346465816917729,0.637720385113278,0.8013513513513514,0.7104998694075708,0.8041856389873391,0.0001,962.26
4,0.5703511032969761,0.802143684820394,0.5407106012105942,0.8108108108108109,0.7299681590779793,0.8126288571214456,0.0001,1361.9
5,0.5031585621875241,0.824739281575898,0.5055274182074779,0.8148648648648649,0.75230235293686,0.8182358620639935,0.0001,1785.81
6,0.4170703332297081,0.8525492468134415,0.4570418389061013,0.8391891891891892,0.7751344278314901,0.8402703738414412,0.0001,2252.28
7,0.38204390637637015,0.8641367323290846,0.4098067968882419,0.8581081081081081,0.8018570178343807,0.8578663528912567,0.0001,2714.35
8,0.34239507640084965,0.8789107763615296,0.4030331771115999,0.8527027027027027,0.8078993227548645,0.8555885885259501,0.0001,3179.96
9,0.3161455729883488,0.8884704519119351,0.4418746612966061,0.85,0.8059970044628361,0.8531277631519915,0.0001,3611.07
10,0.2814478378997617,0.9026651216685979,0.4384311742677882,0.8432432432432433,0.8167846356160097,0.8433259160388822,0.0001,4049.39
11,0.25762937728181773,0.9125144843568945,0.3830503533720165,0.8581081081081081,0.8146145930853828,0.8596362114021022,0.0001,4515.53
12,0.25211020630729297,0.9113557358053302,0.41306692290849784,0.8581081081081081,0.8121794127897491,0.859650176670011,0.0001,4995.59
13,0.21466060103643533,0.9261297798377752,0.39049502357689514,0.8540540540540541,0.8246851392129019,0.8566245022289812,0.0001,5401.52
14,0.2137158209606919,0.9353997682502897,0.41241402000792926,0.8554054054054054,0.8159485992025803,0.8584978184360947,0.0001,5775.61
15,0.21067554168705316,0.9287369640787949,0.412288901947338,0.8513513513513513,0.8146887625820731,0.8562347278209469,0.0001,6149.97
16,0.18919008453986322,0.9385863267670915,0.3761557490753664,0.8594594594594595,0.8222729616791011,0.8620951631028801,3e-05,6525.76
17,0.1661546432509207,0.9429316338354577,0.38129711433540325,0.8567567567567568,0.826985911734885,0.8605720979392338,3e-05,6901.98
18,0.15242457136442736,0.9466975666280417,0.3838565850126985,0.8675675675675676,0.834284642217058,0.8707181487772602,3e-05,7277.23
19,0.14102080527386548,0.9539397450753186,0.3373013148033941,0.8783783783783784,0.8495129008527011,0.8796967272684807,3e-05,7653.71
20,0.1349271254814721,0.9533603707995365,0.37387407063506545,0.8689189189189189,0.8381063085966862,0.8715834348432424,3e-05,8042.17
