epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,learning_rate
1,1.1749513875844166,0.608053302433372,0.9283550191569973,0.7297297297297297,0.599198737999316,0.6539717187346498,0.6110725598893549,0.001
2,0.9250328004843666,0.6709154113557358,0.8464368552774997,0.7391891891891892,0.5910436041573681,0.6911800643481679,0.6265130253035397,0.001
3,0.7663021226470744,0.7300115874855156,0.6179107379268955,0.8027027027027027,0.7393393189756428,0.7621695095294234,0.7413410485499078,0.0001
4,0.5761952104256299,0.798667439165701,0.5489656175310548,0.8054054054054054,0.718874150269864,0.7460189176245211,0.7202024635416724,0.0001
5,0.512892654724635,0.8140208574739282,0.4902013499994536,0.8445945945945946,0.8075397027395819,0.8145150248059729,0.7917513053265888,0.0001
6,0.4176919982096273,0.8511008111239861,0.49172040032776626,0.8391891891891892,0.7833362370789272,0.7912506754101583,0.7726550551326168,0.0001
7,0.38914244830055833,0.86558516801854,0.4728711009226941,0.8297297297297297,0.7703735121060278,0.8120336599862461,0.7823901080668691,0.0001
8,0.3549521512601218,0.8722479721900348,0.4471569521302307,0.8391891891891892,0.770988083763521,0.8236700559976422,0.7920659233488423,0.0001
9,0.30853859940381895,0.8907879490150638,0.47879849535387914,0.8418918918918918,0.7936783220144035,0.8365232648099028,0.8070525242294155,0.0001
10,0.27940781642429247,0.895422943221321,0.4647195195024078,0.8540540540540541,0.8276440171656199,0.8473838601532567,0.8333007745944201,0.0001
11,0.26510048032601213,0.9038238702201622,0.44483152203060483,0.8554054054054054,0.813556747371667,0.8456408414382552,0.8242304397899491,0.0001
12,0.24894799849801932,0.9136732329084588,0.4281327500838686,0.8540540540540541,0.8059055416115234,0.8294007576873956,0.813616814948073,0.0001
13,0.23360859229729045,0.9159907300115875,0.44843379910531883,0.8405405405405405,0.7834907696773828,0.818285195009333,0.7957106880244988,0.0001
14,0.20569132896936645,0.9342410196987254,0.3980292964223269,0.8621621621621621,0.8287985076809959,0.8462365838982219,0.8328531173168572,3e-05
15,0.20192533419796654,0.9316338354577057,0.43289455835883683,0.8554054054054054,0.8170718985285296,0.8568802804794183,0.8276608878290213,3e-05
